Entity,Code,Year,Electric car stocks
Australia,AUS,2012,300
Australia,AUS,2013,590
Australia,AUS,2014,1880
Australia,AUS,2015,3600
Australia,AUS,2016,5000
Australia,AUS,2017,7300
Australia,AUS,2018,10900
Australia,AUS,2019,20600
Australia,AUS,2020,27000
Australia,AUS,2021,48000
Australia,AUS,2022,88000
Australia,AUS,2023,181000
Australia,AUS,2024,302000
Austria,AUT,2012,1540
Austria,AUT,2013,2510
Austria,AUT,2014,4180
Austria,AUT,2015,6500
Austria,AUT,2016,11400
Austria,AUT,2017,18900
Austria,AUT,2018,26700
Austria,AUT,2019,38000
Austria,AUT,2020,60000
Austria,AUT,2021,106000
Austria,AUT,2022,152000
Austria,AUT,2023,218000
Austria,AUT,2024,275000
Belgium,BEL,2010,70
Belgium,BEL,2011,346
Belgium,BEL,2012,1180
Belgium,BEL,2013,1790
Belgium,BEL,2014,3700
Belgium,BEL,2015,7100
Belgium,BEL,2016,16200
Belgium,BEL,2017,30500
Belgium,BEL,2018,44000
Belgium,BEL,2019,60000
Belgium,BEL,2020,105000
Belgium,BEL,2021,172000
Belgium,BEL,2022,270000
Belgium,BEL,2023,470000
Belgium,BEL,2024,670000
Brazil,BRA,2015,148
Brazil,BRA,2016,325
Brazil,BRA,2017,680
Brazil,BRA,2018,1050
Brazil,BRA,2019,2990
Brazil,BRA,2020,5400
Brazil,BRA,2021,19400
Brazil,BRA,2022,39000
Brazil,BRA,2023,92000
Brazil,BRA,2024,214000
Canada,CAN,2011,550
Canada,CAN,2012,2430
Canada,CAN,2013,5500
Canada,CAN,2014,10700
Canada,CAN,2015,17600
Canada,CAN,2016,29000
Canada,CAN,2017,47000
Canada,CAN,2018,87000
Canada,CAN,2019,136000
Canada,CAN,2020,212000
Canada,CAN,2021,300000
Canada,CAN,2022,410000
Canada,CAN,2023,550000
Canada,CAN,2024,860000
Chile,CHL,2014,33
Chile,CHL,2015,69
Chile,CHL,2016,100
Chile,CHL,2017,231
Chile,CHL,2018,410
Chile,CHL,2019,650
Chile,CHL,2020,840
Chile,CHL,2021,1410
Chile,CHL,2022,2900
Chile,CHL,2023,5700
Chile,CHL,2024,11300
China,CHN,2010,1940
China,CHN,2011,6960
China,CHN,2012,16920
China,CHN,2013,32600
China,CHN,2014,85000
China,CHN,2015,297000
China,CHN,2016,630000
China,CHN,2017,1210000
China,CHN,2018,2240000
China,CHN,2019,3370000
China,CHN,2020,4490000
China,CHN,2021,7800000
China,CHN,2022,14100000
China,CHN,2023,21800000
China,CHN,2024,34000000
Denmark,DNK,2010,79
Denmark,DNK,2011,500
Denmark,DNK,2012,1214
Denmark,DNK,2013,1514
Denmark,DNK,2014,3000
Denmark,DNK,2015,8470
Denmark,DNK,2016,9800
Denmark,DNK,2017,10600
Denmark,DNK,2018,15200
Denmark,DNK,2019,25900
Denmark,DNK,2020,62000
Denmark,DNK,2021,145000
Denmark,DNK,2022,210000
Denmark,DNK,2023,310000
Denmark,DNK,2024,460000
Europe,,2010,9863
Europe,,2011,20510
Europe,,2012,46700
Europe,,2013,104000
Europe,,2014,200000
Europe,,2015,380000
Europe,,2016,590000
Europe,,2017,880000
Europe,,2018,1250000
Europe,,2019,1770000
Europe,,2020,3100000
Europe,,2021,5400000
Europe,,2022,7800000
Europe,,2023,11200000
Europe,,2024,14100000
European Union (27),,2010,4940
European Union (27),,2011,12430
European Union (27),,2012,30900
European Union (27),,2013,77000
European Union (27),,2014,132000
European Union (27),,2015,250000
European Union (27),,2016,360000
European Union (27),,2017,540000
European Union (27),,2018,760000
European Union (27),,2019,1110000
European Union (27),,2020,2100000
European Union (27),,2021,3900000
European Union (27),,2022,5700000
European Union (27),,2023,8200000
European Union (27),,2024,10200000
Finland,FIN,2012,240
Finland,FIN,2013,470
Finland,FIN,2014,930
Finland,FIN,2015,1580
Finland,FIN,2016,3240
Finland,FIN,2017,7100
Finland,FIN,2018,15400
Finland,FIN,2019,29700
Finland,FIN,2020,55700
Finland,FIN,2021,100000
Finland,FIN,2022,145000
Finland,FIN,2023,224000
Finland,FIN,2024,260000
France,FRA,2011,2996
France,FRA,2012,9300
France,FRA,2013,18500
France,FRA,2014,31600
France,FRA,2015,54300
France,FRA,2016,84000
France,FRA,2017,147000
France,FRA,2018,188000
France,FRA,2019,255000
France,FRA,2020,440000
France,FRA,2021,740000
France,FRA,2022,1050000
France,FRA,2023,1570000
France,FRA,2024,1750000
Germany,DEU,2011,1840
Germany,DEU,2012,5300
Germany,DEU,2013,12200
Germany,DEU,2014,25400
Germany,DEU,2015,45000
Germany,DEU,2016,66000
Germany,DEU,2017,104000
Germany,DEU,2018,165000
Germany,DEU,2019,240000
Germany,DEU,2020,610000
Germany,DEU,2021,1250000
Germany,DEU,2022,1860000
Germany,DEU,2023,2500000
Germany,DEU,2024,3100000
Greece,GRC,2015,119
Greece,GRC,2016,218
Greece,GRC,2017,410
Greece,GRC,2018,720
Greece,GRC,2019,1200
Greece,GRC,2020,3300
Greece,GRC,2021,10300
Greece,GRC,2022,19400
Greece,GRC,2023,34000
Greece,GRC,2024,45000
Iceland,ISL,2012,40
Iceland,ISL,2013,142
Iceland,ISL,2014,292
Iceland,ISL,2015,710
Iceland,ISL,2016,1560
Iceland,ISL,2017,3900
Iceland,ISL,2018,8000
Iceland,ISL,2019,11000
Iceland,ISL,2020,15000
Iceland,ISL,2021,21500
Iceland,ISL,2022,33000
Iceland,ISL,2023,44000
Iceland,ISL,2024,53000
India,IND,2019,8607
India,IND,2020,12050
India,IND,2021,23100
India,IND,2022,72120
India,IND,2023,150390
India,IND,2024,240480
Israel,ISR,2012,611
Israel,ISR,2013,1018
Israel,ISR,2014,1270
Israel,ISR,2015,1340
Israel,ISR,2016,1400
Israel,ISR,2017,3100
Israel,ISR,2018,6800
Israel,ISR,2019,11400
Israel,ISR,2020,18800
Israel,ISR,2021,43000
Israel,ISR,2022,88000
Israel,ISR,2023,151000
Israel,ISR,2024,228000
Italy,ITA,2013,2180
Italy,ITA,2014,3620
Italy,ITA,2015,5700
Italy,ITA,2016,8500
Italy,ITA,2017,13400
Italy,ITA,2018,23000
Italy,ITA,2019,40000
Italy,ITA,2020,99000
Italy,ITA,2021,230000
Italy,ITA,2022,350000
Italy,ITA,2023,490000
Italy,ITA,2024,600000
Japan,JPN,2011,16015
Japan,JPN,2012,41000
Japan,JPN,2013,69000
Japan,JPN,2014,111000
Japan,JPN,2015,134000
Japan,JPN,2016,153000
Japan,JPN,2017,200000
Japan,JPN,2018,230000
Japan,JPN,2019,260000
Japan,JPN,2020,300000
Japan,JPN,2021,340000
Japan,JPN,2022,410000
Japan,JPN,2023,540000
Japan,JPN,2024,620000
Mexico,MEX,2015,247
Mexico,MEX,2016,1030
Mexico,MEX,2017,2230
Mexico,MEX,2018,4030
Mexico,MEX,2019,5600
Mexico,MEX,2020,9500
Mexico,MEX,2021,16000
Mexico,MEX,2022,24000
Mexico,MEX,2023,41000
Mexico,MEX,2024,68000
Netherlands,NLD,2010,281
Netherlands,NLD,2011,1126
Netherlands,NLD,2012,6300
Netherlands,NLD,2013,28200
Netherlands,NLD,2014,43800
Netherlands,NLD,2015,88400
Netherlands,NLD,2016,112000
Netherlands,NLD,2017,118000
Netherlands,NLD,2018,143000
Netherlands,NLD,2019,207000
Netherlands,NLD,2020,290000
Netherlands,NLD,2021,390000
Netherlands,NLD,2022,530000
Netherlands,NLD,2023,730000
Netherlands,NLD,2024,980000
New Zealand,NZL,2011,29
New Zealand,NZL,2012,56
New Zealand,NZL,2013,92
New Zealand,NZL,2014,410
New Zealand,NZL,2015,910
New Zealand,NZL,2016,2360
New Zealand,NZL,2017,5900
New Zealand,NZL,2018,11400
New Zealand,NZL,2019,17400
New Zealand,NZL,2020,22900
New Zealand,NZL,2021,35400
New Zealand,NZL,2022,65000
New Zealand,NZL,2023,92000
New Zealand,NZL,2024,113000
Norway,NOR,2010,2702
Norway,NOR,2011,3903
Norway,NOR,2012,8340
Norway,NOR,2013,15660
Norway,NOR,2014,35300
Norway,NOR,2015,69000
Norway,NOR,2016,114000
Norway,NOR,2017,180000
Norway,NOR,2018,247000
Norway,NOR,2019,330000
Norway,NOR,2020,490000
Norway,NOR,2021,630000
Norway,NOR,2022,790000
Norway,NOR,2023,900000
Norway,NOR,2024,960000
Poland,POL,2019,8600
Poland,POL,2020,17700
Poland,POL,2021,37000
